task,budget,method,sample_idx,score,rep_ratio,collapsed,onset_word_idx,dispersion_cv
qmsum,0.8,streaming,0,13.740458015267176,0.0078125,0,23,13.304143793181405
qmsum,0.8,streaming,1,13.131313131313133,0.006097560975609756,0,29,16.20148632291638
qmsum,0.8,streaming,2,8.938547486033519,0.03125,0,48,22.313047742566038
qmsum,0.8,streaming,3,11.320754716981133,0.0,0,,19.99420207474776
qmsum,0.8,streaming,4,4.166666666666667,0.007936507936507936,0,62,17.945923985115062
qmsum,0.8,streaming,5,5.3475935828877015,0.0,0,,22.628302438707095
qmsum,0.8,streaming,6,8.866995073891626,0.028901734104046242,0,6,22.628302438707095
qmsum,0.8,streaming,7,3.75,0.01910828025477707,0,63,22.628302438707095
qmsum,0.8,streaming,8,6.097560975609756,0.0,0,,22.628302438707095
qmsum,0.8,streaming,9,14.285714285714285,0.03333333333333333,0,39,12.8825556009296
qmsum,0.8,streaming,10,8.16326530612245,0.0125,0,23,22.628302438707095
qmsum,0.8,streaming,11,4.8484848484848495,0.01910828025477707,0,63,22.628302438707095
