task,budget,method,sample_idx,score,rep_ratio,collapsed,onset_word_idx,dispersion_cv
qmsum,0.8,fullkv,0,6.25,0.02962962962962963,0,33,
qmsum,0.8,fullkv,1,12.5,0.00625,0,34,
qmsum,0.8,fullkv,2,11.235955056179774,0.024539877300613498,0,81,
qmsum,0.8,fullkv,3,11.881188118811883,0.01935483870967742,0,23,
qmsum,0.8,fullkv,4,7.142857142857142,0.0,0,,
qmsum,0.8,fullkv,5,6.31578947368421,0.006578947368421052,0,28,
qmsum,0.8,fullkv,6,8.16326530612245,0.018633540372670808,0,28,
qmsum,0.8,fullkv,7,5.031446540880504,0.0,0,,
qmsum,0.8,fullkv,8,4.878048780487805,0.0,0,,
qmsum,0.8,fullkv,9,9.022556390977442,0.0,0,,
qmsum,0.8,fullkv,10,10.526315789473683,0.012987012987012988,0,28,
qmsum,0.8,fullkv,11,4.878048780487805,0.0,0,,
qmsum,0.8,fullkv,12,13.88888888888889,0.02112676056338028,0,80,
qmsum,0.8,fullkv,13,10.204081632653061,0.0,0,,
qmsum,0.8,fullkv,14,10.628019323671499,0.006211180124223602,0,115,
qmsum,0.8,fullkv,15,16.589861751152075,0.01775147928994083,0,67,
qmsum,0.8,fullkv,16,11.428571428571429,0.0,0,,
qmsum,0.8,fullkv,17,10.679611650485437,0.012987012987012988,0,28,
qmsum,0.8,fullkv,18,8.421052631578947,0.018072289156626505,0,34,
qmsum,0.8,fullkv,19,10.101010101010102,0.0,0,,
qmsum,0.8,fullkv,20,11.1731843575419,0.026143790849673203,0,11,
qmsum,0.8,fullkv,21,9.411764705882353,0.0,0,,
qmsum,0.8,fullkv,22,3.571428571428571,0.006578947368421052,0,28,
qmsum,0.8,fullkv,23,6.41711229946524,0.01935483870967742,0,23,
qmsum,0.8,fullkv,24,16.748768472906406,0.0,0,,
qmsum,0.8,fullkv,25,5.9880239520958085,0.036585365853658534,0,17,
qmsum,0.8,fullkv,26,14.159292035398233,0.026143790849673203,0,11,
qmsum,0.8,fullkv,27,6.349206349206351,0.018633540372670808,0,28,
qmsum,0.8,fullkv,28,10.476190476190478,0.012121212121212121,0,28,
qmsum,0.8,fullkv,29,18.749999999999996,0.0,0,,
qmsum,0.8,fullkv,30,11.453744493392069,0.00625,0,34,
qmsum,0.8,fullkv,31,4.733727810650888,0.006329113924050633,0,110,
qmsum,0.8,fullkv,32,13.414634146341465,0.018633540372670808,0,22,
qmsum,0.8,fullkv,33,13.397129186602868,0.02112676056338028,0,80,
qmsum,0.8,fullkv,34,3.428571428571429,0.02564102564102564,0,80,
qmsum,0.8,fullkv,35,7.100591715976331,0.026143790849673203,0,11,
qmsum,0.8,fullkv,36,13.684210526315791,0.026143790849673203,0,11,
qmsum,0.8,fullkv,37,7.909604519774012,0.006329113924050633,0,110,
qmsum,0.8,fullkv,38,7.035175879396985,0.0,0,,
qmsum,0.8,fullkv,39,18.473895582329316,0.00625,0,34,
qmsum,0.8,fullkv,40,8.333333333333332,0.0,0,,
qmsum,0.8,fullkv,41,11.224489795918366,0.02112676056338028,0,80,
qmsum,0.8,fullkv,42,8.79120879120879,0.018072289156626505,0,34,
qmsum,0.8,fullkv,43,10.638297872340424,0.006289308176100629,0,72,
qmsum,0.8,fullkv,44,3.75,0.02564102564102564,0,80,
qmsum,0.8,fullkv,45,13.452914798206278,0.018404907975460124,0,30,
qmsum,0.8,fullkv,46,11.428571428571427,0.018404907975460124,0,30,
qmsum,0.8,fullkv,47,4.137931034482759,0.02962962962962963,0,33,
qmsum,0.8,fullkv,48,8.98876404494382,0.018072289156626505,0,34,
qmsum,0.8,fullkv,49,8.999999999999998,0.02112676056338028,0,80,
qmsum,0.8,adakv,0,6.329113924050632,0.702247191011236,1,7,0.40744978485012956
