task,method,sample_idx,score
gov_report,fullkv,0,18.181818181818183
gov_report,fullkv,1,13.670886075949367
gov_report,fullkv,2,17.41293532338308
gov_report,fullkv,3,13.531353135313532
gov_report,fullkv,4,16.435185185185183
gov_report,fullkv,5,13.129496402877699
gov_report,fullkv,6,11.940298507462687
gov_report,fullkv,7,13.371266002844951
gov_report,fullkv,8,16.25668449197861
gov_report,fullkv,9,12.408759124087592
gov_report,fullkv,10,12.765957446808512
gov_report,fullkv,11,25.87904360056259
gov_report,fullkv,12,17.100371747211895
gov_report,fullkv,13,15.479115479115476
gov_report,fullkv,14,18.506493506493506
gov_report,pyramidkv,0,20.673076923076927
gov_report,pyramidkv,1,16.29778672032193
gov_report,pyramidkv,2,14.986376021798364
gov_report,pyramidkv,3,10.925644916540211
gov_report,pyramidkv,4,20.969337289812067
gov_report,pyramidkv,5,14.666666666666666
gov_report,pyramidkv,6,15.48731642189586
gov_report,pyramidkv,7,16.756756756756754
gov_report,pyramidkv,8,12.549800796812752
gov_report,pyramidkv,9,15.151515151515152
gov_report,pyramidkv,10,15.594059405940595
gov_report,pyramidkv,11,18.876404494382022
gov_report,pyramidkv,12,14.874141876430205
gov_report,pyramidkv,13,15.917843388960204
gov_report,pyramidkv,14,24.03965303593556
gov_report,adakv,0,20.673076923076927
gov_report,adakv,1,16.29778672032193
gov_report,adakv,2,14.986376021798364
gov_report,adakv,3,10.925644916540211
gov_report,adakv,4,20.969337289812067
gov_report,adakv,5,14.666666666666666
gov_report,adakv,6,15.48731642189586
gov_report,adakv,7,16.756756756756754
gov_report,adakv,8,12.549800796812752
gov_report,adakv,9,15.151515151515152
gov_report,adakv,10,15.594059405940595
gov_report,adakv,11,18.876404494382022
gov_report,adakv,12,14.874141876430205
gov_report,adakv,13,15.917843388960204
gov_report,adakv,14,24.03965303593556
gov_report,streaming,0,19.225634178905207
gov_report,streaming,1,16.24874623871615
gov_report,streaming,2,14.13173652694611
gov_report,streaming,3,15.453194650817236
gov_report,streaming,4,18.010471204188484
gov_report,streaming,5,17.680454176804542
gov_report,streaming,6,21.939953810623557
gov_report,streaming,7,16.011235955056183
gov_report,streaming,8,12.741312741312743
gov_report,streaming,9,13.059250302297459
gov_report,streaming,10,17.518248175182478
gov_report,streaming,11,16.76505312868949
gov_report,streaming,12,15.436241610738252
gov_report,streaming,13,16.109045848822802
gov_report,streaming,14,17.30496453900709
gov_report,ours,0,16.024653312788907
gov_report,ours,1,16.020671834625322
gov_report,ours,2,15.801354401805867
gov_report,ours,3,9.868421052631579
gov_report,ours,4,21.909547738693465
gov_report,ours,5,14.485596707818932
gov_report,ours,6,18.207282913165265
gov_report,ours,7,15.32258064516129
gov_report,ours,8,12.063492063492061
gov_report,ours,9,15.533980582524274
gov_report,ours,10,16.470588235294116
gov_report,ours,11,16.8141592920354
gov_report,ours,12,17.475728155339805
gov_report,ours,13,14.519906323185014
gov_report,ours,14,21.74496644295302
gov_report,h2o,0,20.737327188940093
gov_report,h2o,1,15.148188803512621
gov_report,h2o,2,14.945652173913043
gov_report,h2o,3,10.0
gov_report,h2o,4,20.040899795501023
gov_report,h2o,5,15.92039800995025
gov_report,h2o,6,15.104895104895105
gov_report,h2o,7,14.500683994528044
gov_report,h2o,8,12.252964426877467
gov_report,h2o,9,12.328767123287673
gov_report,h2o,10,14.419225634178904
gov_report,h2o,11,19.25754060324826
gov_report,h2o,12,14.928649835345775
gov_report,h2o,13,15.686274509803921
gov_report,h2o,14,25.376884422110553
gov_report,snapkv,0,19.37046004842615
gov_report,snapkv,1,17.298347910592806
gov_report,snapkv,2,20.43132803632236
gov_report,snapkv,3,0.0
gov_report,snapkv,4,21.25506072874494
gov_report,snapkv,5,18.790849673202615
gov_report,snapkv,6,18.1592039800995
gov_report,snapkv,7,12.520593080724876
gov_report,snapkv,8,11.662531017369728
gov_report,snapkv,9,11.994784876140807
gov_report,snapkv,10,16.666666666666668
gov_report,snapkv,11,15.081206496519725
gov_report,snapkv,12,17.913385826771655
gov_report,snapkv,13,12.729498164014686
gov_report,snapkv,14,24.287484510532835
qmsum,fullkv,0,6.25
qmsum,fullkv,1,11.538461538461538
qmsum,fullkv,2,7.968127490039839
qmsum,fullkv,3,11.881188118811883
qmsum,fullkv,4,6.896551724137931
qmsum,fullkv,5,6.31578947368421
qmsum,fullkv,6,7.968127490039841
qmsum,fullkv,7,5.031446540880504
qmsum,fullkv,8,4.405286343612335
qmsum,fullkv,9,9.022556390977442
qmsum,fullkv,10,8.270676691729323
qmsum,fullkv,11,4.878048780487805
qmsum,fullkv,12,13.88888888888889
qmsum,fullkv,13,9.433962264150942
qmsum,fullkv,14,13.821138211382115
qmsum,pyramidkv,0,5.405405405405405
qmsum,pyramidkv,1,8.88888888888889
qmsum,pyramidkv,2,5.5096418732782375
qmsum,pyramidkv,3,12.903225806451612
qmsum,pyramidkv,4,4.411764705882352
qmsum,pyramidkv,5,7.142857142857142
qmsum,pyramidkv,6,10.572687224669602
qmsum,pyramidkv,7,2.564102564102564
qmsum,pyramidkv,8,6.956521739130435
qmsum,pyramidkv,9,8.433734939759036
qmsum,pyramidkv,10,8.602150537634408
