Method,qmsum,gov_report,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps,qmsum_collapse_%,qmsum_collapse_n,gov_report_collapse_%,gov_report_collapse_n,Avg_Collapse_%,Avg_Collapse_n
SalienceKV_m0,9.3,14.1,11.7,80.0,1293.5,28.4,0.0,0/2,50.0,1/2,25.0,1/4
SalienceKV_m1,9.5,13.8,11.7,80.0,1068.0,28.5,0.0,0/2,0.0,0/2,0.0,0/4
SalienceKV_m2,8.3,13.3,10.8,80.0,1144.7,27.8,0.0,0/2,0.0,0/2,0.0,0/4
SalienceKV_m4,9.1,13.2,11.2,80.0,1133.5,28.6,0.0,0/2,0.0,0/2,0.0,0/4
SalienceKV_m8,8.5,15.1,11.8,80.0,1114.5,28.1,0.0,0/2,0.0,0/2,0.0,0/4
SalienceKV_m16,10.3,13.2,11.8,80.0,1278.7,27.6,0.0,0/2,0.0,0/2,0.0,0/4
AdaKV-adapted_m0,9.8,10.6,10.2,80.0,1070.5,30.5,0.0,0/2,50.0,1/2,25.0,1/4
AdaKV-adapted_m1,8.6,11.3,9.9,80.0,1043.5,30.4,0.0,0/2,0.0,0/2,0.0,0/4
AdaKV-adapted_m2,8.6,13.4,11.0,80.0,1036.1,29.8,0.0,0/2,0.0,0/2,0.0,0/4
AdaKV-adapted_m4,8.5,15.0,11.7,80.0,1048.9,26.9,0.0,0/2,0.0,0/2,0.0,0/4
AdaKV-adapted_m8,10.6,15.3,12.9,80.0,1048.1,27.4,0.0,0/2,0.0,0/2,0.0,0/4
AdaKV-adapted_m16,8.3,13.4,10.9,80.0,1164.4,25.2,0.0,0/2,0.0,0/2,0.0,0/4
PyramidKV-adapted_m0,9.8,10.6,10.2,80.0,1038.9,27.1,0.0,0/2,50.0,1/2,25.0,1/4
PyramidKV-adapted_m1,8.6,11.3,9.9,80.0,1041.4,26.9,0.0,0/2,0.0,0/2,0.0,0/4
PyramidKV-adapted_m2,8.6,13.4,11.0,80.0,1041.0,27.6,0.0,0/2,0.0,0/2,0.0,0/4
PyramidKV-adapted_m4,8.5,15.0,11.7,80.0,1039.2,27.7,0.0,0/2,0.0,0/2,0.0,0/4
PyramidKV-adapted_m8,10.6,15.3,12.9,80.0,1039.5,27.9,0.0,0/2,0.0,0/2,0.0,0/4
PyramidKV-adapted_m16,8.3,13.4,10.9,80.0,1041.5,29.1,0.0,0/2,0.0,0/2,0.0,0/4
H2O_m0,9.3,10.6,10.0,80.0,1043.0,26.9,0.0,0/2,50.0,1/2,25.0,1/4
H2O_m1,8.1,11.5,9.8,80.0,1050.0,25.8,0.0,0/2,0.0,0/2,0.0,0/4
H2O_m2,9.0,11.5,10.3,80.0,1039.6,26.3,0.0,0/2,0.0,0/2,0.0,0/4
H2O_m4,9.0,15.7,12.4,80.0,1048.2,25.6,0.0,0/2,0.0,0/2,0.0,0/4
H2O_m8,8.2,14.9,11.5,80.0,1042.9,26.4,0.0,0/2,0.0,0/2,0.0,0/4
H2O_m16,8.9,15.8,12.4,80.0,1042.3,28.6,0.0,0/2,0.0,0/2,0.0,0/4
SnapKV_m0,8.8,13.8,11.3,80.0,1059.9,29.2,0.0,0/2,0.0,0/2,0.0,0/4
SnapKV_m1,8.8,13.8,11.3,80.0,1037.5,29.9,0.0,0/2,0.0,0/2,0.0,0/4
SnapKV_m2,8.8,13.8,11.3,80.0,1041.0,29.4,0.0,0/2,0.0,0/2,0.0,0/4
SnapKV_m4,9.3,13.9,11.6,80.0,1063.8,28.1,0.0,0/2,0.0,0/2,0.0,0/4
SnapKV_m8,8.6,13.3,10.9,80.0,1045.2,28.1,0.0,0/2,0.0,0/2,0.0,0/4
SnapKV_m16,10.2,11.7,11.0,80.0,1034.1,30.0,0.0,0/2,0.0,0/2,0.0,0/4
