Method,qmsum,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps,qmsum_collapse_%,qmsum_collapse_n,Avg_Collapse_%,Avg_Collapse_n
SalienceKV_m0,12.1,12.1,80.0,1333.5,21.5,0.0,0/2,0.0,0/2
SalienceKV_m1,9.3,9.3,80.0,999.5,27.4,0.0,0/2,0.0,0/2
SalienceKV_m2,9.3,9.3,80.0,1035.4,27.5,0.0,0/2,0.0,0/2
SalienceKV_m4,9.3,9.3,80.0,1017.9,26.3,0.0,0/2,0.0,0/2
SalienceKV_m8,9.8,9.8,80.0,988.9,26.4,0.0,0/2,0.0,0/2
SalienceKV_m16,11.1,11.1,80.0,991.3,27.9,0.0,0/2,0.0,0/2
AdaKV-adapted_m0,12.7,12.7,80.0,989.5,28.1,0.0,0/2,0.0,0/2
AdaKV-adapted_m1,11.9,11.9,80.0,980.6,27.1,0.0,0/2,0.0,0/2
AdaKV-adapted_m2,11.9,11.9,80.0,985.7,27.4,0.0,0/2,0.0,0/2
AdaKV-adapted_m4,11.9,11.9,80.0,1137.4,25.0,0.0,0/2,0.0,0/2
AdaKV-adapted_m8,11.9,11.9,80.0,1071.6,25.8,0.0,0/2,0.0,0/2
AdaKV-adapted_m16,13.0,13.0,80.0,995.0,28.2,0.0,0/2,0.0,0/2
PyramidKV-adapted_m0,12.7,12.7,80.0,996.2,25.6,0.0,0/2,0.0,0/2
PyramidKV-adapted_m1,11.9,11.9,80.0,1011.1,26.9,0.0,0/2,0.0,0/2
PyramidKV-adapted_m2,11.9,11.9,80.0,965.6,27.3,0.0,0/2,0.0,0/2
PyramidKV-adapted_m4,11.9,11.9,80.0,971.5,24.9,0.0,0/2,0.0,0/2
PyramidKV-adapted_m8,11.9,11.9,80.0,1065.3,24.7,0.0,0/2,0.0,0/2
PyramidKV-adapted_m16,13.0,13.0,80.0,1039.9,22.3,0.0,0/2,0.0,0/2
H2O_m0,9.4,9.4,80.0,985.1,28.1,0.0,0/2,0.0,0/2
H2O_m1,10.5,10.5,80.0,963.3,27.6,0.0,0/2,0.0,0/2
H2O_m2,10.5,10.5,80.0,987.3,27.7,0.0,0/2,0.0,0/2
H2O_m4,12.8,12.8,80.0,972.9,21.7,0.0,0/2,0.0,0/2
H2O_m8,11.5,11.5,80.0,1057.0,21.1,0.0,0/2,0.0,0/2
H2O_m16,12.2,12.2,80.0,1078.1,21.8,0.0,0/2,0.0,0/2
SnapKV_m0,9.8,9.8,80.0,1042.5,24.5,0.0,0/2,0.0,0/2
SnapKV_m1,9.8,9.8,80.0,1079.2,25.2,0.0,0/2,0.0,0/2
SnapKV_m2,9.8,9.8,80.0,1319.9,22.3,0.0,0/2,0.0,0/2
SnapKV_m4,9.4,9.4,80.0,1201.3,24.3,0.0,0/2,0.0,0/2
SnapKV_m8,9.4,9.4,80.0,1036.9,27.1,0.0,0/2,0.0,0/2
SnapKV_m16,9.4,9.4,80.0,991.2,26.7,0.0,0/2,0.0,0/2
