sample_idx,input_length,budget_tokens,jaccard,adakv_only_count,adakv_only_avg_relpos,ours_only_count,ours_only_avg_relpos,shared_count,shared_avg_relpos
0,5530,1106,0.5265700483091788,343,0.24421048191945338,343,0.797575377348046,763,0.6584868902850886
1,8198,1639,0.5126903553299492,528,0.22801593330228365,528,0.7967621444993975,1111,0.6248801874576333
2,15552,3110,0.5211543164587918,979,0.24296879269179517,979,0.7760444252134326,2131,0.6207789842478174
3,12488,2497,0.49208246190618465,850,0.23537975279798018,850,0.7942264573991031,1647,0.6415960414894474
4,10056,2011,0.49962714392244595,671,0.23650552435422734,671,0.8134473772507341,1340,0.6332212742967739
5,16000,3200,0.4897579143389199,1096,0.23509392107664234,1096,0.7646324133211678,2104,0.6492249881178707
6,16000,3200,0.5012901712409101,1063,0.24356708607714017,1063,0.7576715075258702,2137,0.6308231750116986
7,16000,3200,0.5055281110326982,1051,0.23914854900095148,1051,0.7637346574690771,2149,0.6550926012098651
8,16000,3200,0.4621887137308659,1177,0.25796378504672896,1177,0.7726597812234494,2023,0.6282518845773604
9,5185,1037,0.5340236686390533,315,0.25580321746184814,315,0.8127743337772269,722,0.6457686112454154
10,16000,3200,0.47431467403824,1141,0.2505490797546012,1141,0.7694758435582821,2059,0.6412367654201068
11,16000,3200,0.5055281110326982,1051,0.23914854900095148,1051,0.7637346574690771,2149,0.6550926012098651
12,12995,2599,0.44348792002221604,1002,0.2620654804281395,1002,0.7658765577732569,1597,0.6506827562163859
13,12958,2591,0.49552669552669554,874,0.24508039174619073,874,0.8010529883026416,1717,0.6408226461315861
14,12078,2415,0.5136320902538389,776,0.2488615664845173,776,0.8079907576696489,1639,0.628421412941162
15,9264,1852,0.5075295075295075,605,0.23129790605061445,605,0.8138699167844246,1247,0.6467969586420189
16,5185,1037,0.5340236686390533,315,0.25580321746184814,315,0.8127743337772269,722,0.6457686112454154
17,16000,3200,0.47431467403824,1141,0.2505490797546012,1141,0.7694758435582821,2059,0.6412367654201068
18,15252,3050,0.5113974231912785,986,0.25250424378221403,986,0.8104377891583666,2064,0.6157000695804032
19,16000,3200,0.5055281110326982,1051,0.23914854900095148,1051,0.7637346574690771,2149,0.6550926012098651
