task,budget,method,collapse_old,collapse_new,avg_score,avg_word_rep,avg_char_rep,avg_recent500,n
gov_report,0.2,adakv,45,49,8.096688222532928,0.746608352643366,0.9243529564282525,123.96,50
gov_report,0.2,h2o,44,49,7.943011417796676,0.743193104070841,0.9226689923063016,112.18,50
gov_report,0.2,ours,27,28,10.052336341777846,0.49096430005332103,0.7444243034851833,226.76,50
gov_report,0.2,pyramidkv,45,49,8.067709094252095,0.746626779915729,0.9239640357023692,123.96,50
gov_report,0.2,snapkv,17,23,1.7842474284151015,0.30830421549848436,0.47262352171536226,123.96,50
gov_report,0.2,streaming,0,0,13.714961441619932,0.024690714306857414,0.3702802427119053,500.0,50
gov_report,0.8,adakv,15,15,15.582295888072892,0.2255953947657611,0.5690324564080242,409.12,50
gov_report,0.8,h2o,13,13,15.81755379019616,0.19957954620745916,0.5534863745115104,406.32,50
gov_report,0.8,ours,1,1,15.557038608574974,0.03690975865959112,0.3962951504946245,495.66,50
gov_report,0.8,pyramidkv,15,15,15.582295888072892,0.2255953947657611,0.5690324564080242,409.12,50
gov_report,0.8,snapkv,29,32,11.142559112953776,0.47718122322287143,0.7342142059988235,409.62,50
gov_report,0.8,streaming,0,0,14.574100505063889,0.014962246114047797,0.34694375461698385,500.0,50
qmsum,0.2,adakv,37,40,2.5364815277849986,0.6645937709432936,0.7535453744235423,126.08,50
qmsum,0.2,h2o,46,46,2.600391188132109,0.8143776445552287,0.8889680708885398,114.24,50
qmsum,0.2,ours,42,44,4.967362765485965,0.7185559527136118,0.8739476139834518,219.74,50
qmsum,0.2,pyramidkv,36,39,2.5443710741360834,0.6467494595660481,0.7343656398035182,126.08,50
qmsum,0.2,snapkv,22,22,1.0486613909044253,0.42087319446230337,0.43028962843427976,123.34,50
qmsum,0.2,streaming,0,0,9.086354353663753,0.009710916219972,0.31608347471023457,500.0,50
qmsum,0.8,adakv,45,49,5.172036106185666,0.754291405197976,0.9088337227955082,406.54,50
qmsum,0.8,h2o,44,48,5.351038031927064,0.7329665265201042,0.889659638593438,403.62,50
qmsum,0.8,ours,4,7,9.904001130718422,0.09652712782892667,0.47886566923107204,498.74,50
qmsum,0.8,pyramidkv,45,49,5.172036106185666,0.754291405197976,0.9088337227955082,406.54,50
qmsum,0.8,snapkv,38,38,6.629051481283991,0.5425057434203374,0.772471999408292,407.28,50
qmsum,0.8,streaming,0,0,9.525999886457297,0.013867258079948328,0.31478898091123103,500.0,50
