sample_idx,input_length,jaccard,adakv_only_count,adakv_only_avg_relpos,ours_only_count,ours_only_avg_relpos,shared_count,shared_avg_relpos
0,5530,0.8243298969072165,426,0.17115477676183682,426,0.7954541595564951,3998,0.5323517997696859
1,8198,0.8315877670716381,603,0.17158555437822678,603,0.7922449636828462,5955,0.5305730196937305
2,15552,0.813953488372093,1276,0.15237464040146034,1276,0.7724465883290117,11165,0.5395872552840943
3,12488,0.832523158763643,913,0.16998074997561732,913,0.8006077948740978,9077,0.5343243957296945
4,10056,0.8298453139217471,748,0.1796320285545331,748,0.8003709972815335,7296,0.5321748646177895
5,16000,0.8061238888104981,1374,0.15040443049490537,1374,0.761259097525473,11426,0.5447631881235778
6,16000,0.7943505992850635,1467,0.16162623551465574,1467,0.7606439161554192,11333,0.5416133029647932
7,16000,0.8184401193351328,1278,0.1782298024256651,1278,0.7601664710485133,11522,0.5395813660822774
8,16000,0.7995220019682272,1426,0.16264879908835905,1426,0.7758424789621318,11374,0.5382472799806576
9,5185,0.8301345687182881,385,0.16433468171173088,385,0.7915174892609801,3763,0.5341443394816965
10,16000,0.8122610788616735,1326,0.16024457956259425,1326,0.7555844645550528,11474,0.5422036887746209
11,16000,0.8184401193351328,1278,0.1782298024256651,1278,0.7601664710485133,11522,0.5395813660822774
12,12995,0.8216225687751884,1018,0.17432577589536855,1018,0.7779865461326746,9378,0.5365120252708052
13,12958,0.821632545470521,1015,0.17154923409241074,1015,0.7839730025843251,9351,0.5363683388377369
14,12078,0.8307910942681194,893,0.16385172378049584,893,0.7961389267632727,8769,0.5328984873496183
15,9264,0.8208845208845209,729,0.16775425796806848,729,0.7892339862731022,6682,0.5313832912281028
16,5185,0.8301345687182881,385,0.16433468171173088,385,0.7915174892609801,3763,0.5341443394816965
17,16000,0.8122610788616735,1326,0.16024457956259425,1326,0.7555844645550528,11474,0.5422036887746209
18,15252,0.8269072396496219,1156,0.16916977023604368,1156,0.7873463982714388,11045,0.5342451077221823
19,16000,0.8184401193351328,1278,0.1782298024256651,1278,0.7601664710485133,11522,0.5395813660822774
