task,budget,method,sample_idx,score,rep_ratio,collapsed,onset,dispersion_cv,max_gap,recent500_coverage
qmsum,0.2,streaming,0,5.925925925925926,0.0072992700729927005,0,20,26.617293453559125,4425.0,500
qmsum,0.2,streaming,1,11.518324607329845,0.012121212121212121,0,78,32.400500534092544,6560.0,500
qmsum,0.2,streaming,2,6.024096385542169,0.006535947712418301,0,18,44.62250544605369,12443.0,500
qmsum,0.2,streaming,3,11.111111111111112,0.0,0,,39.986398426337985,9992.0,500
qmsum,0.2,streaming,4,6.4,0.0,0,,35.885150641729865,8046.0,500
qmsum,0.2,streaming,5,5.0761421319796955,0.012345679012345678,0,56,45.26190700601117,12801.0,500
qmsum,0.2,streaming,6,11.956521739130435,0.02702702702702703,0,10,45.26190700601117,12801.0,500
qmsum,0.2,streaming,7,3.9215686274509802,0.012903225806451613,0,24,45.26190700601117,12801.0,500
qmsum,0.2,streaming,8,5.988023952095808,0.006289308176100629,0,66,45.26190700601117,12801.0,500
qmsum,0.2,streaming,9,3.448275862068966,0.0,0,,25.774413024938386,4149.0,500
qmsum,0.2,streaming,10,6.185567010309277,0.01948051948051948,0,38,45.26190700601117,12801.0,500
qmsum,0.2,streaming,11,6.329113924050632,0.012903225806451613,0,24,45.26190700601117,12801.0,500
qmsum,0.2,streaming,12,11.38211382113821,0.023529411764705882,0,28,40.7921572466064,10397.0,500
qmsum,0.2,streaming,13,6.7114093959731544,0.00980392156862745,0,19,40.731709280549616,10368.0,500
qmsum,0.2,streaming,14,13.496932515337424,0.0,0,,39.32470204188773,9664.0,500
qmsum,0.2,streaming,15,15.74074074074074,0.006289308176100629,0,44,34.44090987300646,7413.0,500
qmsum,0.2,streaming,16,14.634146341463417,0.0,0,,25.774413024938386,4149.0,500
qmsum,0.2,streaming,17,7.619047619047619,0.01948051948051948,0,38,45.26190700601117,12801.0,500
qmsum,0.2,streaming,18,6.779661016949152,0.013513513513513514,0,21,44.19013519847672,12203.0,500
qmsum,0.2,streaming,19,8.333333333333332,0.012903225806451613,0,24,45.26190700601117,12801.0,500
qmsum,0.2,streaming,20,9.16030534351145,0.011494252873563218,0,28,41.291938430225066,10654.0,500
qmsum,0.2,streaming,21,10.999999999999998,0.0,0,,45.26190700601117,12801.0,500
qmsum,0.2,streaming,22,4.571428571428571,0.012345679012345678,0,56,45.26190700601117,12801.0,500
qmsum,0.2,streaming,23,8.955223880597012,0.0,0,,39.986398426337985,9992.0,500
qmsum,0.2,streaming,24,16.379310344827587,0.0,0,,29.044522512988586,5270.0,500
qmsum,0.2,streaming,25,5.633802816901408,0.014598540145985401,0,16,29.26623283767186,5352.0,500
qmsum,0.2,streaming,26,12.359550561797752,0.011494252873563218,0,28,41.291938430225066,10654.0,500
qmsum,0.2,streaming,27,11.299435028248588,0.02702702702702703,0,10,45.26190700601117,12801.0,500
qmsum,0.2,streaming,28,8.780487804878048,0.018404907975460124,0,46,37.294935152515826,8692.0,500
qmsum,0.2,streaming,29,13.714285714285715,0.0,0,,25.774413024938386,4149.0,500
qmsum,0.2,streaming,30,14.159292035398233,0.012121212121212121,0,78,32.400500534092544,6560.0,500
qmsum,0.2,streaming,31,7.18562874251497,0.012903225806451613,0,53,45.26190700601117,12801.0,500
qmsum,0.2,streaming,32,10.21897810218978,0.0,0,,44.26827302616516,12245.0,500
qmsum,0.2,streaming,33,11.715481171548117,0.023529411764705882,0,28,40.7921572466064,10397.0,500
qmsum,0.2,streaming,34,4.878048780487805,0.0,0,,37.90852494833963,8981.0,500
qmsum,0.2,streaming,35,8.264462809917356,0.011494252873563218,0,28,41.291938430225066,10654.0,500
qmsum,0.2,streaming,36,11.267605633802818,0.011494252873563218,0,28,41.291938430225066,10654.0,500
qmsum,0.2,streaming,37,10.285714285714286,0.012903225806451613,0,53,45.26190700601117,12801.0,500
qmsum,0.2,streaming,38,7.894736842105263,0.00980392156862745,0,19,40.731709280549616,10368.0,500
qmsum,0.2,streaming,39,16.935483870967744,0.012121212121212121,0,78,32.400500534092544,6560.0,500
qmsum,0.2,streaming,40,9.395973154362416,0.0,0,,35.885150641729865,8046.0,500
qmsum,0.2,streaming,41,8.849557522123893,0.023529411764705882,0,28,40.7921572466064,10397.0,500
qmsum,0.2,streaming,42,8.284023668639053,0.013513513513513514,0,21,44.19013519847672,12203.0,500
qmsum,0.2,streaming,43,10.687022900763358,0.0,0,,35.735921330768456,7981.0,500
qmsum,0.2,streaming,44,4.026845637583892,0.0,0,,37.90852494833963,8981.0,500
qmsum,0.2,streaming,45,11.981566820276496,0.0,0,,32.15960499542382,6461.0,500
qmsum,0.2,streaming,46,9.467455621301776,0.0,0,,32.15960499542382,6461.0,500
qmsum,0.2,streaming,47,6.578947368421054,0.0072992700729927005,0,20,26.617293453559125,4425.0,500
qmsum,0.2,streaming,48,4.848484848484849,0.013513513513513514,0,21,44.19013519847672,12203.0,500
qmsum,0.2,streaming,49,6.956521739130435,0.023529411764705882,0,28,40.7921572466064,10397.0,500
qmsum,0.2,h2o,0,1.6666666666666667,0.8656716417910447,1,14,0.8873695530325245,35.0,128
qmsum,0.2,h2o,1,1.1764705882352942,0.8873239436619719,1,11,0.8848759186363098,33.0,125
qmsum,0.2,h2o,2,2.3391812865497075,0.9090909090909091,1,10,0.7124633885356539,43.0,125
qmsum,0.2,h2o,3,5.741626794258373,0.8054054054054054,1,22,0.8631548153815294,32.0,113
qmsum,0.2,h2o,4,2.4096385542168672,0.9230769230769231,1,4,0.8399306937276984,34.0,111
qmsum,0.2,h2o,5,1.0050251256281406,0.8850574712643678,1,7,0.6750904651988975,32.0,136
qmsum,0.2,h2o,6,5.797101449275363,0.0,0,,0.7192604825344833,34.0,111
qmsum,0.2,h2o,7,1.3157894736842106,0.8622754491017964,1,18,0.8406866158822661,33.0,117
qmsum,0.2,h2o,8,1.3333333333333333,0.9277777777777778,1,3,0.6892090653322247,32.0,109
qmsum,0.2,h2o,9,1.4492753623188406,0.946969696969697,1,3,0.8600847794000148,28.0,121
qmsum,0.2,h2o,10,0.0,0.9081081081081082,1,3,0.7112337590975574,28.0,123
qmsum,0.2,h2o,11,1.2738853503184713,0.8622754491017964,1,18,0.8406866158822661,33.0,117
qmsum,0.2,h2o,12,9.95475113122172,0.7903225806451613,1,7,0.8750067617674072,41.0,99
qmsum,0.2,h2o,13,3.1578947368421053,0.8950617283950617,1,5,0.879611321555927,33.0,120
qmsum,0.2,h2o,14,1.9417475728155338,0.9156626506024096,1,9,0.8512806723830468,31.0,117
qmsum,0.2,h2o,15,4.545454545454546,0.0,0,,0.9037617739036616,36.0,120
qmsum,0.2,h2o,16,2.7586206896551726,0.946969696969697,1,3,0.8600847794000148,28.0,121
qmsum,0.2,h2o,17,4.926108374384236,0.9081081081081082,1,3,0.7112337590975574,28.0,123
qmsum,0.2,h2o,18,1.1049723756906076,0.9391891891891891,1,3,0.9072073613719128,44.0,97
qmsum,0.2,h2o,19,2.094240837696335,0.8622754491017964,1,18,0.8406866158822661,33.0,117
qmsum,0.2,h2o,20,2.380952380952381,0.9090909090909091,1,7,0.9053831149510365,43.0,106
qmsum,0.2,h2o,21,3.75586854460094,0.907608695652174,1,9,0.8769936591365176,38.0,97
qmsum,0.2,h2o,22,0.0,0.8850574712643678,1,7,0.6750904651988975,32.0,136
qmsum,0.2,h2o,23,5.154639175257731,0.8054054054054054,1,22,0.8631548153815294,32.0,113
qmsum,0.2,h2o,24,2.0408163265306127,0.0,0,,0.8671519682195394,36.0,111
qmsum,0.2,h2o,25,0.0,0.9125,1,5,0.9029874673566974,34.0,124
qmsum,0.2,h2o,26,2.7906976744186043,0.9090909090909091,1,7,0.9053831149510365,43.0,106
qmsum,0.2,h2o,27,3.225806451612903,0.0,0,,0.7192604825344833,34.0,111
qmsum,0.2,h2o,28,1.8779342723004695,0.923469387755102,1,8,0.8936234181592033,44.0,128
qmsum,0.2,h2o,29,1.0152284263959392,0.946969696969697,1,3,0.8600847794000148,28.0,121
qmsum,0.2,h2o,30,0.9756097560975608,0.8873239436619719,1,11,0.8848759186363098,33.0,125
qmsum,0.2,h2o,31,2.631578947368421,0.898876404494382,1,9,0.8589955396068336,58.0,105
qmsum,0.2,h2o,32,5.747126436781609,0.8342541436464088,1,7,0.8509977165395194,31.0,122
qmsum,0.2,h2o,33,7.476635514018691,0.7903225806451613,1,7,0.8750067617674072,41.0,99
qmsum,0.2,h2o,34,2.325581395348837,0.7934782608695652,1,7,0.7844426316659905,34.0,119
qmsum,0.2,h2o,35,1.2658227848101267,0.9090909090909091,1,7,0.9053831149510365,43.0,106
qmsum,0.2,h2o,36,4.4692737430167595,0.9090909090909091,1,7,0.9053831149510365,43.0,106
qmsum,0.2,h2o,37,2.5,0.898876404494382,1,9,0.8589955396068336,58.0,105
qmsum,0.2,h2o,38,4.1450777202072535,0.8950617283950617,1,5,0.879611321555927,33.0,120
qmsum,0.2,h2o,39,2.6431718061674006,0.8873239436619719,1,11,0.8848759186363098,33.0,125
qmsum,0.2,h2o,40,4.2105263157894735,0.9230769230769231,1,4,0.8399306937276984,34.0,111
qmsum,0.2,h2o,41,3.9800995024875623,0.7903225806451613,1,7,0.8750067617674072,41.0,99
qmsum,0.2,h2o,42,1.1560693641618496,0.9391891891891891,1,3,0.9072073613719128,44.0,97
qmsum,0.2,h2o,43,0.0,0.9085365853658537,1,10,0.8513160451091203,40.0,121
qmsum,0.2,h2o,44,1.2738853503184713,0.7934782608695652,1,7,0.7844426316659905,34.0,119
qmsum,0.2,h2o,45,1.8779342723004695,0.9127906976744186,1,8,0.9166497364177336,40.0,103
qmsum,0.2,h2o,46,1.2121212121212122,0.9127906976744186,1,8,0.9166497364177336,40.0,103
qmsum,0.2,h2o,47,2.9197080291970803,0.8656716417910447,1,14,0.8873695530325245,35.0,128
qmsum,0.2,h2o,48,0.0,0.9391891891891891,1,3,0.9072073613719128,44.0,97
qmsum,0.2,h2o,49,0.975609756097561,0.7903225806451613,1,7,0.8750067617674072,41.0,99
qmsum,0.2,snapkv,0,0.0,0.0,0,,1.7127058744471324,79.0,139
qmsum,0.2,snapkv,1,0.0,0.0,0,,1.7880622733397677,77.0,125
