budget,sample_idx,input_length,budget_tokens,jaccard,adakv_only_count,adakv_only_avg_relpos,ours_only_count,ours_only_avg_relpos,shared_count,shared_avg_relpos
0.8,0,7362,5889,0.84868937372469,482,0.22662889278914602,482,0.8096612525236129,5407,0.5242206931188389
0.8,1,8070,6456,0.8314893617021276,594,0.2243984662819855,594,0.7847913250639397,5862,0.5286898753951373
0.8,2,16000,12800,0.839476898756916,1117,0.18898864145031333,1117,0.7661590196956133,11683,0.5339261961824874
0.8,3,16000,12800,0.8738105694627434,862,0.22699079176334108,862,0.816954828886311,11938,0.5216420359356676
0.8,4,13106,10484,0.8415598102933427,902,0.20391643711534435,902,0.7980221309919493,9582,0.5291416363461642
0.8,5,15826,12660,0.8440026218046756,1071,0.22048832170300195,1071,0.8096538417380517,11589,0.5248485948072988
0.8,6,12339,9871,0.8376617332216327,872,0.1918942586012427,872,0.7802184800784564,8999,0.5312375209567773
0.8,7,16000,12800,0.839212587111143,1119,0.20592867515638963,1119,0.8183054066130474,11681,0.5258935290214879
0.8,8,11790,9432,0.8350194552529183,848,0.2104739785875462,848,0.7948374261846464,8584,0.530771334640774
0.8,9,16000,12800,0.8514500614739279,1027,0.21608544303797467,1027,0.7977162244401169,11773,0.5244818599762168
0.8,10,8414,6731,0.8380666302566904,593,0.22253723918739787,593,0.804766888559219,6138,0.5262078718280747
0.8,11,6512,5209,0.8306097346687753,482,0.196905871828071,482,0.7956514369896113,4727,0.528269627301783
0.8,12,7652,6121,0.8484070662841613,502,0.22536826036158555,502,0.7944278817818117,5619,0.5237019737473122
0.8,13,13221,10576,0.8474975980434972,873,0.22278625252806442,873,0.7937977113538954,9703,0.528399781661477
0.8,14,7887,6309,0.8444671831603566,532,0.2017398479080928,532,0.7889970266098871,5777,0.5301929524307545
0.8,15,3556,2844,0.8271763572116929,269,0.20265659171785683,269,0.7850943585583401,2575,0.5319879432546659
0.8,16,2885,2308,0.8353876739562625,207,0.20774956253819943,207,0.778018905047765,2101,0.5312754428237111
0.8,17,3262,2609,0.8451202263083452,219,0.20701085419763768,219,0.8034065998672971,2390,0.5305812590268568
0.8,18,5925,4740,0.8526480359585695,377,0.22866377911336447,377,0.8067644853327961,4363,0.5230339902768872
0.8,19,9284,7427,0.8482020654473063,610,0.1906152661727209,610,0.7919927462018208,6817,0.5314177996223927
0.2,0,7362,1472,0.429126213592233,588,0.2574474641799127,588,0.77531315432992,884,0.6895311130533337
0.2,1,8070,1614,0.4083769633507853,678,0.24225234215364821,678,0.7925277713809477,936,0.6752492877492877
0.2,2,16000,3200,0.48251100301135047,1117,0.24747633169203223,1117,0.7576700984780662,2083,0.6531626260201632
0.2,3,16000,3200,0.4998828216545582,1067,0.25799789128397377,1067,0.7710581654170571,2133,0.6263506797937178
0.2,4,13106,2621,0.389345348529022,1152,0.2526266860386252,1152,0.7840192866498804,1469,0.6866271425420852
0.2,5,15826,3165,0.40854472630173566,1329,0.24468930697330457,1329,0.8003628531004546,1836,0.6532905367659793
0.2,6,12339,2467,0.4563164108618654,921,0.25462603281404556,921,0.8074622637948107,1546,0.6552102857115298
0.2,7,16000,3200,0.45322434150772023,1204,0.25100721553156147,1204,0.7769005917774087,1996,0.6277618048597194
0.2,8,11790,2358,0.4111310592459605,984,0.2403490625237041,984,0.7832977340587656,1374,0.6903510363925711
0.2,9,16000,3200,0.4359434597262733,1257,0.2491302704852824,1257,0.7739431682577566,1943,0.6641411477097272
0.2,10,8414,1682,0.45817078456870397,625,0.3068972664606608,625,0.7762924649393868,1057,0.6393712645883027
0.2,11,6512,1302,0.47368421052631576,465,0.270994161316742,465,0.7817098623550237,837,0.638647445099058
0.2,12,7652,1530,0.46411483253588515,560,0.2165262583078187,560,0.7926039410798297,970,0.6765187728024747
0.2,13,13221,2644,0.44718117131910234,1010,0.2533304725979746,1010,0.7529510132769573,1634,0.6306746332959221
0.2,14,7887,1577,0.4355939918070096,620,0.257045894223651,620,0.7720796165188121,957,0.6854812735638013
0.2,15,3556,711,0.4163346613545817,293,0.26855250175639306,293,0.7930085957685323,418,0.6880688209428366
0.2,16,2885,577,0.42998760842627015,230,0.2799578027277522,230,0.7787612086504409,347,0.7203052657340212
0.2,17,3262,652,0.4801362088535755,229,0.28371695774285877,229,0.7642041879630199,423,0.696156616848791
0.2,18,5925,1185,0.4962121212121212,399,0.2940240897602656,399,0.7910666962765563,786,0.6437590320052394
0.2,19,9284,1856,0.4619929105947223,683,0.2092023115698981,683,0.7801778654755138,1173,0.6766514859507672
