task,method,collapse_count,collapse_rate,avg_rep,avg_score,avg_recent500,n
gov_report,adakv,45,0.9,0.746608352643366,8.096688222532928,123.96,50
gov_report,h2o,44,0.88,0.743193104070841,7.943011417796676,112.18,50
gov_report,ours,27,0.54,0.49096430005332103,10.052336341777846,226.76,50
gov_report,pyramidkv,45,0.9,0.746626779915729,8.067709094252095,123.96,50
gov_report,snapkv,17,0.34,0.30830421549848436,1.7842474284151015,123.96,50
gov_report,streaming,0,0.0,0.024690714306857414,13.714961441619932,500.0,50
qmsum,adakv,37,0.74,0.6645937709432936,2.5364815277849986,126.08,50
qmsum,h2o,46,0.92,0.8143776445552287,2.600391188132109,114.24,50
qmsum,ours,42,0.84,0.7185559527136118,4.967362765485965,219.74,50
qmsum,pyramidkv,36,0.72,0.6467494595660481,2.5443710741360834,126.08,50
qmsum,snapkv,22,0.44,0.42087319446230337,1.0486613909044253,123.34,50
qmsum,streaming,0,0.0,0.009710916219972,9.086354353663753,500.0,50
