Method,qmsum,gov_report,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps,qmsum_collapse_%,qmsum_collapse_n,gov_report_collapse_%,gov_report_collapse_n,Avg_Collapse_%,Avg_Collapse_n
SalienceKV_m0,9.6,18.7,14.1,20.0,1835.8,26.5,13.3,4/30,6.7,2/30,10.0,6/60
SalienceKV_m1,9.9,18.5,14.2,20.0,1834.1,26.0,0.0,0/30,0.0,0/30,0.0,0/60
SalienceKV_m2,9.6,18.4,14.0,20.0,1827.9,26.9,0.0,0/30,0.0,0/30,0.0,0/60
SalienceKV_m4,9.2,18.4,13.8,20.0,1829.2,26.9,0.0,0/30,0.0,0/30,0.0,0/60
SalienceKV_m8,9.0,18.0,13.5,20.0,1831.2,27.3,0.0,0/30,0.0,0/30,0.0,0/60
SalienceKV_m16,9.6,17.2,13.4,20.0,1844.1,26.9,0.0,0/30,0.0,0/30,0.0,0/60
AdaKV-adapted_m0,3.6,17.9,10.8,20.0,1809.9,26.6,96.7,29/30,50.0,15/30,73.3,44/60
AdaKV-adapted_m1,9.6,18.0,13.8,20.0,1807.4,26.8,0.0,0/30,0.0,0/30,0.0,0/60
AdaKV-adapted_m2,9.6,18.1,13.8,20.0,1806.3,27.3,0.0,0/30,0.0,0/30,0.0,0/60
AdaKV-adapted_m4,9.2,18.1,13.6,20.0,1801.4,26.6,0.0,0/30,0.0,0/30,0.0,0/60
AdaKV-adapted_m8,9.2,18.2,13.7,20.0,1802.1,27.3,0.0,0/30,0.0,0/30,0.0,0/60
AdaKV-adapted_m16,9.9,17.3,13.6,20.0,1816.3,25.6,0.0,0/30,0.0,0/30,0.0,0/60
PyramidKV-adapted_m0,3.6,17.9,10.8,20.0,1796.7,26.1,96.7,29/30,50.0,15/30,73.3,44/60
PyramidKV-adapted_m1,9.6,18.0,13.8,20.0,1804.4,24.9,0.0,0/30,0.0,0/30,0.0,0/60
PyramidKV-adapted_m2,9.6,18.1,13.8,20.0,1807.5,23.7,0.0,0/30,0.0,0/30,0.0,0/60
PyramidKV-adapted_m4,9.2,18.1,13.6,20.0,1802.6,24.0,0.0,0/30,0.0,0/30,0.0,0/60
PyramidKV-adapted_m8,9.2,18.2,13.7,20.0,1800.2,25.1,0.0,0/30,0.0,0/30,0.0,0/60
PyramidKV-adapted_m16,9.9,17.3,13.6,20.0,1803.1,24.6,0.0,0/30,0.0,0/30,0.0,0/60
H2O_m0,3.5,18.0,10.7,20.0,1797.2,25.1,96.7,29/30,46.7,14/30,71.7,43/60
H2O_m1,9.4,18.1,13.7,20.0,1796.8,25.0,0.0,0/30,0.0,0/30,0.0,0/60
H2O_m2,9.3,18.1,13.7,20.0,1795.4,25.6,0.0,0/30,0.0,0/30,0.0,0/60
H2O_m4,9.5,18.4,13.9,20.0,1801.4,24.5,0.0,0/30,0.0,0/30,0.0,0/60
H2O_m8,9.4,18.4,13.9,20.0,1800.7,25.2,0.0,0/30,0.0,0/30,0.0,0/60
H2O_m16,9.9,17.2,13.6,20.0,1805.7,24.5,0.0,0/30,0.0,0/30,0.0,0/60
SnapKV_m0,4.8,15.0,9.9,20.0,1798.0,25.2,70.0,21/30,66.7,20/30,68.3,41/60
SnapKV_m1,9.2,18.7,14.0,20.0,1804.6,25.5,3.3,1/30,0.0,0/30,1.7,1/60
SnapKV_m2,9.2,18.7,14.0,20.0,1802.0,25.3,3.3,1/30,0.0,0/30,1.7,1/60
SnapKV_m4,9.1,19.0,14.0,20.0,1800.5,24.8,0.0,0/30,0.0,0/30,0.0,0/60
SnapKV_m8,8.7,18.0,13.3,20.0,1799.4,24.8,0.0,0/30,0.0,0/30,0.0,0/60
SnapKV_m16,9.6,16.4,13.0,20.0,1799.6,24.0,0.0,0/30,0.0,0/30,0.0,0/60
