Method,qmsum,gov_report,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps,qmsum_collapse_%,qmsum_collapse_n,gov_report_collapse_%,gov_report_collapse_n,Avg_Collapse_%,Avg_Collapse_n
SalienceKV_m0,3.5,11.1,7.3,80.0,1873.7,26.0,80.0,24/30,60.0,18/30,70.0,42/60
SalienceKV_m1,8.3,16.2,12.2,80.0,1864.5,25.1,0.0,0/30,0.0,0/30,0.0,0/60
SalienceKV_m2,8.5,16.3,12.4,80.0,1857.4,25.2,0.0,0/30,0.0,0/30,0.0,0/60
SalienceKV_m4,8.0,15.9,12.0,80.0,1859.1,25.4,0.0,0/30,0.0,0/30,0.0,0/60
SalienceKV_m8,8.2,16.0,12.1,80.0,1865.9,25.1,0.0,0/30,0.0,0/30,0.0,0/60
SalienceKV_m16,8.9,14.3,11.6,80.0,1858.2,25.3,0.0,0/30,0.0,0/30,0.0,0/60
AdaKV-adapted_m0,1.7,8.5,5.1,80.0,1790.3,25.9,80.0,24/30,100.0,30/30,90.0,54/60
AdaKV-adapted_m1,9.5,16.0,12.7,80.0,1787.5,25.6,0.0,0/30,3.3,1/30,1.7,1/60
AdaKV-adapted_m2,9.5,15.6,12.6,80.0,1790.1,26.2,0.0,0/30,6.7,2/30,3.3,2/60
AdaKV-adapted_m4,8.8,15.8,12.3,80.0,1791.3,25.0,0.0,0/30,0.0,0/30,0.0,0/60
AdaKV-adapted_m8,9.2,16.0,12.6,80.0,1789.2,25.5,0.0,0/30,0.0,0/30,0.0,0/60
AdaKV-adapted_m16,9.3,14.8,12.0,80.0,1785.1,25.8,0.0,0/30,0.0,0/30,0.0,0/60
PyramidKV-adapted_m0,1.7,8.5,5.1,80.0,1774.1,25.8,80.0,24/30,100.0,30/30,90.0,54/60
PyramidKV-adapted_m1,9.5,16.0,12.7,80.0,1777.3,25.3,0.0,0/30,3.3,1/30,1.7,1/60
PyramidKV-adapted_m2,9.3,15.6,12.5,80.0,1783.2,25.7,0.0,0/30,3.3,1/30,1.7,1/60
PyramidKV-adapted_m4,8.8,15.9,12.3,80.0,1777.0,25.7,0.0,0/30,0.0,0/30,0.0,0/60
PyramidKV-adapted_m8,9.2,16.0,12.6,80.0,1780.5,25.9,0.0,0/30,0.0,0/30,0.0,0/60
PyramidKV-adapted_m16,9.3,14.6,12.0,80.0,1777.8,25.8,0.0,0/30,0.0,0/30,0.0,0/60
H2O_m0,1.5,7.4,4.5,80.0,1775.4,25.7,86.7,26/30,96.7,29/30,91.7,55/60
H2O_m1,9.2,16.6,12.9,80.0,1773.0,25.4,0.0,0/30,6.7,2/30,3.3,2/60
H2O_m2,9.2,16.5,12.9,80.0,1783.1,25.5,0.0,0/30,6.7,2/30,3.3,2/60
H2O_m4,8.8,16.0,12.4,80.0,1774.1,25.6,3.3,1/30,6.7,2/30,5.0,3/60
H2O_m8,9.1,16.2,12.6,80.0,1774.5,25.7,0.0,0/30,0.0,0/30,0.0,0/60
H2O_m16,9.1,14.8,11.9,80.0,1780.2,24.5,0.0,0/30,0.0,0/30,0.0,0/60
SnapKV_m0,1.1,1.4,1.3,80.0,1779.3,27.7,40.0,12/30,50.0,15/30,45.0,27/60
SnapKV_m1,8.9,16.8,12.8,80.0,1779.4,25.3,0.0,0/30,3.3,1/30,1.7,1/60
SnapKV_m2,8.8,16.5,12.7,80.0,1777.5,25.3,0.0,0/30,3.3,1/30,1.7,1/60
SnapKV_m4,8.9,16.2,12.6,80.0,1778.7,26.6,0.0,0/30,0.0,0/30,0.0,0/60
SnapKV_m8,8.7,16.3,12.5,80.0,1776.0,25.6,0.0,0/30,3.3,1/30,1.7,1/60
SnapKV_m16,8.4,15.0,11.7,80.0,1781.0,25.8,0.0,0/30,0.0,0/30,0.0,0/60
