Method,qmsum,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps,qmsum_collapse_%,qmsum_collapse_n,Avg_Collapse_%,Avg_Collapse_n
SalienceKV_m0,14.0,14.0,80.0,2262.7,26.7,3.3,1/30,3.3,1/30
SalienceKV_m1,13.8,13.8,80.0,2156.0,26.6,0.0,0/30,0.0,0/30
SalienceKV_m2,13.8,13.8,80.0,2213.3,27.4,0.0,0/30,0.0,0/30
SalienceKV_m4,13.6,13.6,80.0,2093.0,26.3,0.0,0/30,0.0,0/30
SalienceKV_m8,13.7,13.7,80.0,2099.3,27.2,0.0,0/30,0.0,0/30
SalienceKV_m16,13.8,13.8,80.0,2325.2,28.2,0.0,0/30,0.0,0/30
AdaKV-adapted_m0,14.7,14.7,80.0,2303.5,26.2,3.3,1/30,3.3,1/30
AdaKV-adapted_m1,14.6,14.6,80.0,3103.4,20.6,0.0,0/30,0.0,0/30
AdaKV-adapted_m2,14.6,14.6,80.0,3089.5,20.9,0.0,0/30,0.0,0/30
AdaKV-adapted_m4,14.6,14.6,80.0,3129.4,21.9,0.0,0/30,0.0,0/30
AdaKV-adapted_m8,14.3,14.3,80.0,2908.6,22.6,0.0,0/30,0.0,0/30
AdaKV-adapted_m16,14.4,14.4,80.0,2983.6,22.9,0.0,0/30,0.0,0/30
PyramidKV-adapted_m0,14.7,14.7,80.0,3431.3,22.4,3.3,1/30,3.3,1/30
PyramidKV-adapted_m1,14.6,14.6,80.0,3182.4,22.4,0.0,0/30,0.0,0/30
PyramidKV-adapted_m2,14.6,14.6,80.0,3186.2,22.9,0.0,0/30,0.0,0/30
PyramidKV-adapted_m4,14.6,14.6,80.0,2926.6,22.8,0.0,0/30,0.0,0/30
PyramidKV-adapted_m8,14.3,14.3,80.0,3434.9,20.4,0.0,0/30,0.0,0/30
PyramidKV-adapted_m16,14.5,14.5,80.0,3158.1,21.8,0.0,0/30,0.0,0/30
H2O_m0,13.0,13.0,80.0,3064.9,23.3,6.7,2/30,6.7,2/30
H2O_m1,13.0,13.0,80.0,3221.6,21.0,0.0,0/30,0.0,0/30
H2O_m2,13.0,13.0,80.0,3018.0,21.9,0.0,0/30,0.0,0/30
H2O_m4,13.4,13.4,80.0,3073.7,21.7,0.0,0/30,0.0,0/30
H2O_m8,13.3,13.3,80.0,2701.9,22.8,0.0,0/30,0.0,0/30
H2O_m16,13.5,13.5,80.0,2570.8,21.8,0.0,0/30,0.0,0/30
SnapKV_m0,14.3,14.3,80.0,3172.7,19.9,0.0,0/30,0.0,0/30
SnapKV_m1,14.3,14.3,80.0,2874.1,20.5,0.0,0/30,0.0,0/30
SnapKV_m2,14.3,14.3,80.0,3015.0,21.3,0.0,0/30,0.0,0/30
SnapKV_m4,13.8,13.8,80.0,3091.2,21.8,0.0,0/30,0.0,0/30
SnapKV_m8,14.0,14.0,80.0,2947.2,22.4,0.0,0/30,0.0,0/30
SnapKV_m16,13.9,13.9,80.0,3513.7,20.8,0.0,0/30,0.0,0/30
